,mid,max,min
5,7.8825,9.26,5.01
9,8.235000000000003,9.29,7.32
13,10.48,12.8,8.82
17,14.067499999999999,15.96,11.45
21,13.904999999999998,14.68,13.41
25,15.052499999999997,16.0,13.85
29,14.757499999999997,15.64,13.72
33,15.777499999999996,16.14,15.04
37,17.045,17.89,16.21
41,12.134999999999998,13.44,11.12
45,12.58,14.81,11.06
49,10.935,11.37,10.62
53,10.487500000000004,11.87,9.68
57,10.107500000000005,11.89,9.24
61,9.172500000000007,9.71,8.94
65,10.715000000000005,11.22,10.48
69,7.787500000000002,8.26,7.3
73,7.662500000000001,8.36,7.18
77,7.192500000000004,8.16,6.48
81,8.380000000000003,9.2,7.21
85,7.350000000000003,7.85,6.74
89,6.610000000000005,7.59,5.37
93,6.985000000000004,7.2,6.51
97,7.715000000000004,8.27,6.75
